writer_id,name
0722274,Shonda Rhimes
1586791,Andy Reaser
9698564,Julie Wong
2528015,Jase Miles-Perez
2715597,Meg Marinis
9455294,Jess Righthand
8108153,Michelle Lirtzman
0794914,David Shore
0438432,Lawrence Kaplow
0086694,Peter Blake
0153384,Sara B. Cooper
0542535,John Mankiewicz
0602981,Thomas L. Moran
0936976,Matt Witten
1844375,David Foster
1403671,Joel Anderson Thompson
1068423,Russel Friend
1068424,Garrett Lerner
1802607,Sara Hess
0295286,Liz Friedman
0675219,Michael R. Perry
0250668,Doris Egan
0205247,Pam Davis
1068213,Matthew V. Lewis
2269602,Charles M. Duncan
0395924,David Hoselton
0225272,Leonard Dick
0925878,Sean Whitesell
1108368,Eli Attie
0337692,Carol Green
0655615,Dustin Paddock
0445931,John C. Kelley
2397756,Seth Hoffman
1964417,Kath Lingenfelter
1262440,Marqui Jackson
3838536,Danny Weiss
2049104,Jamie Conway
0000341,Michael Crichton
0920274,John Wells
0940963,Lydia Woodward
0543355,Paul Manning
0622250,Robert Nathan
0046371,Neal Baer
0313077,Lance Gentile
0827873,Tracey Stern
0282378,Carol Flint
0448455,Anne Kenney
0143064,Belinda Wells
0755161,Joe Sachs
0128663,Jason Cahill
0179244,Samantha Corbin-Miller
0355329,Barbara Hall
0338396,Walon Green
0650202,Jack Orman
0589957,David Mills
0309087,Linda Gase
0532960,Christopher Mack
0361927,Patrick Harbinson
0657408,Doug Palau
0312565,R. Scott Gemmill
0472255,Sandy Kroopf
0424934,Dee Johnson
0402804,Elizabeth Hunter
0308359,Tom Garrigus
0825284,Meredith Stiehm
0951390,David Zabel
1263739,Moreen Littrell
1117707,Yahlin Chang
0372877,Julie H̩bert
0588005,Bruce Miller
1497259,Sonya Steele
1537756,Mark Morocco
0959024,Lisa Zwerling
0950124,Jacy Young
2069906,Karen Maser
0792471,Janine Sherman Barrois
1125049,Virgil Williams
1557867,Shannon Goss
1922119,Andrew Fash
0492639,Bill Lawrence
0777372,Mike Schwartz
0918111,Eric Weinberg
0850696,Matt Tarses
0232981,Garrett Donovan
1054832,Neil Goldman
1000302,Gabrielle Allan
1052109,Janae Bakken
0285975,Debra Fordham
0825217,Mark Stegemann
0387684,Tim Hobert
1238485,Angela Nissel
0773731,Bonnie Sikowitz
0204678,Hadley Davis
1001653,April Pesa
0077768,Will Berson
1541482,Justin Spitzer
0262414,Rich Eustis
0703594,Tad Quill
0130172,Bill Callahan
2218724,David Feinberg
2158545,Aseem Batra
0081334,Kevin Biegel
1452838,Ryan A. Levin
2202596,Eren Celeboglu
2039147,Clarence Livingston
1140565,Andy Schwartz
1847976,Dave Tennant
1558835,Sean Russell
2582069,Taii K. Austin
1868229,Devin O. Mahoney
0716716,Chris Rego-Marquiis
2683474,Alessia Costantini
4727462,Mark Valadez
0125725,Josh Bycel
0342917,Jonathan Groff
0185735,Steven Cragg
1480238,Brian Bradley
1150257,Corey Nickerson
1072410,Kevin Etten
1079781,Prentice Penny
1905395,Leila Strachan
3186942,Lon Zimmet
1633902,Dan Rubin
6728876,Park Jae-beom
0497556,Johanna Lee
3634351,David Renaud
2799425,Karen Struck
4259499,Lloyd Gilyard Jr.
0745360,Bill Rotko
1918801,Simran Baidwan
0383603,Freddie Highmore
9319070,Mark Rozeman
4679741,Brian Shin
3251129,Sal Calleros
1325709,Tracy Taylor
0633425,Peter Noah
3131414,Jessica Grasl
0991351,Deborah J. Ezer
4784537,Adam Scott Weissman
2675977,Sam Chanse
2381405,Patricia Carr
5925696,Oren Gottfried
1160510,Tristan Thai
0280613,April Fitzsimmons
0012182,Jim Adler
7258376,Nathalie Simone Touboul
14153017,Jeff Qiu
6449098,Melaina Wright
